rule,compliant,evidence,missing_if_any,suggestion
Contract must specify the Agreement Date.,False,[],Parsing failed,Check manually
Contract must specify the Effective Date.,False,"['is effective as of the date last signed below (""Amendment Effective Date”).', '2.2 Commencement Date. The “Commencement Date” under this Agreement shall be the first day of the Month following the date Carrier notifies Shipper that (i) Carrier has obtained all required operating permits and/or approvals of regulatory authorities necessary to operate the System, (ii) the System is operational to the extent necessary to commence the', 'Effective Date and Term. This agreement shall begin upon the date of its execution by MA and acceptance in writing byCompany and shall remain in effect until the end of the current calendar year and shall be automaticallyrenewed for successive one (1) year periods unless otherwise terminated according to the cancellationor termination provisions contained in paragraph 18 of this Agreement.', '2. Term of Agreement. The initial term of this Agreement shall be for a period of four (4) years, commencing on the Effective Date, which term may be extended for up to three (3) years by written agreement of both Parties prior to the expiration date of the initial term or any extension thereof (collectively, the “Term”). Each twelve-month period beginning on the Effective Date shall be known as a “Contract Year.”', '2. Term This Agreement shall commence on the Effective Date and shall continue for an initial term of year as of the Effective Date.', 'Effective Date based upon physical injury or death of a Subject in connection with the Clinical Trials, or from the Commercialization of the Product; except to the extent that any of the foregoing (a) through (g) were caused by (i) the gross negligence or willful misconduct of any', 'A. [***] The effective date for purposes of this Agreement is the contract date as specified on the signature page of this Agreement.']","While some excerpts (Scansource, RangeResources, CybergyHoldings, PcquoteCom) clearly specify an effective date or a mechanism to determine it, other excerpts (NakedBrandGroup, InmodeLtd, PhasebioPharmaceuticals) refer to an ""Effective Date"" without defining how that date is established within the provided text. The excerpt from AtnInternational defines ""Delivery Date"" or ""Completion Date"" but not the overall agreement's effective date. For a contract to be fully compliant with the rule, the effective date must be explicitly defined or determinable from the contract's terms.","For excerpts that refer to an ""Effective Date"" without defining it (e.g., NakedBrandGroup, InmodeLtd, PhasebioPharmaceuticals), add a clear definition, such as ""This Agreement shall be effective as of the date of last signature below"" or ""This Agreement shall be effective as of [Specific Date]"". For the AtnInternational excerpt, ensure there is a separate clause defining the overall agreement's effective date, distinct from delivery or completion dates."
Contract must specify the Expiration or Renewal terms.,False,[],Parsing failed,Check manually
Contract must define which Governing Law applies.,False,"['1.3 Applicable Law means any and all applicable federal, state, local and international laws, rules and regulations, including regulations of competent Regulatory Authorities and environmental laws, as amended from time to time, and the regulations promulgated thereunder, as amended from time to time.', '“Applicable Laws” means any and all (i) laws, statutes, rules, regulations, by laws, codes, treaties, constitutions and ordinances, including Privacy Legislation (“ Laws”), (ii) order, directive, judgment, decree, award or writ of any court (including a court of equity), arbitrator or arbitration panel, or any Governmental Authority or other body exercising adjudicative, regulatory, judicial or quasi-judicial powers, including any stock exchange (“ Orders”), and (iii) policies, guidelines, standards, requirements, notices and protocols of any Governmental Authority (“Policies ”); which are applicable to or govern CHT, Ehave or the transactions contemplated by this Agreement.', '(a) “Applicable Laws and Regulations” shall mean any law, statute, rule, regulation, ordinance or other binding pronouncements of any duly authorized court, tribunal, arbitrator, agency, commission, official or other instrumentality of any federal, state, province, county, city or other political subdivision (domestic or foreign) having the effect of law in the United States, any foreign country or territory or any domestic or foreign state, province, county, city or other political subdivision applicable to the Company or its business.', '“Applicable Law ” shall mean all applicable laws, statutes, directives, codes, ordinances, rules, regulations, municipal by-laws, judicial, arbitral, administrative, ministerial, departmental or regulatory judgments, orders, decisions, ruling or award, consent orders, consent decrees and policies of any Governmental Authority.', '“Law” means any federal, national, supranational, state, provincial, local or similar statute, law or ordinance, regulation, rule, code, order, requirement or rule of law (including common law).']","The contract excerpts define what constitutes 'Applicable Law' or 'Law' in a general sense, describing the types of legal instruments that fall under these terms. However, none of the provided excerpts contain a specific clause that designates a particular jurisdiction's laws (e.g., 'the laws of the State of Delaware' or 'the laws of England and Wales') as the governing law for the interpretation and enforcement of the contract itself. The definitions provided are descriptive of the *scope* of laws, not prescriptive of the *governing jurisdiction* for the agreement.","Add a dedicated 'Governing Law' clause to the contract, explicitly stating which jurisdiction's laws will govern the agreement. For example: 'This Agreement and any dispute or claim arising out of or in connection with it or its subject matter or formation (including non-contractual disputes or claims) shall be governed by and construed in accordance with the laws of [Specify State/Country], without giving effect to any choice or conflict of law provision or rule (whether of [Specify State/Country] or any other jurisdiction) that would cause the application of the laws of any jurisdiction other than [Specify State/Country].'"
Contract must contain a Confidentiality or NDA clause.,False,[],Parsing failed,Check manually
Contract must include an IP Ownership or Joint IP clause.,True,"['enforceability or ownership of any Joint IP, including the settlement thereof.', ""Each Party shall take, at the other Party's expense, any actions (including, without limitation, execution and delivery of affidavits and other documents) reasonably requested by such other Party to effect, perfect or confirm its or its designee's ownership rights as set forth in this Section 6.1.3  [Ownership]."", 'To the extent that any Joint Works are created in the course of performance of this Agreement, each Party shall own a joint, equal and undivided ownership interest in and to such Joint Works and the associated Intellectual Property Rights, with no duty on the part of either Party to account to the other with respect to its use and exploitation of the same.', 'Article X. INTELLECTUAL PROPERTY RIGHTS 10.1 Ownership.', 'Each Party shall ensure that every Third Party performing activities on behalf of such Party in connection with the Collaboration executes a binding and enforceable invention assignment agreement assigning all of such Third Party’s right, title and interest in and to Program Inventions to such Party', 'Each Party to whom ownership is to vest in Joint IP by operation of law or by assignment by its employees or Agents agrees to assign and hereby assigns to the other Party an undivided one-half right, title and interest in and to all Joint IP']",None,None required
Contract must specify License Grant terms.,True,"['Subject to the terms and conditions of this Agreement, the Licensor hereby grants to the Licensee, and the Licensee hereby accepts from the Licensor, a personal, non-exclusive, royalty-free right and license to use the Licensed Mark in the Territory solely and exclusively as a component of the Licensee’s own company name and in connection with the Licensed Services and any business provided in conjunction therewith by such Licensee.', 'Licensor hereby grants to Licensee, and Licensee hereby accepts from Licensor, a personal, non-exclusive, royalty-free right and license to use the Licensed Mark solely and exclusively as a component of Licensee’s own corporate name and in connection with marketing the investment management, investment consultation and investment advisory services that', 'Licensor on behalf of itself and its Affliates hereby grants to Licensee the limited licenses to use and have used the Licensed Mark: (i) for the Licensed Products as set forth on Schedule 2; and (ii) as set forth on Schedule 1, concerning agreements entered into by Licensee prior to the Effective Date (“Existing Agreements”). For the avoidance of doubt, Licensor also grants to Licensee and its subsidiaries and affiliates a non-exclusive, worldwide royalty-free license for continued use of the Licensed Mark for the production and sale of inventory containing the Licensed Mark applied to such products during the Transition Period as set forth in section 8.2 of the Separation and Distribution Agreement and in Schedule 2 of this Agreement.', 'Producer hereby grants to ConvergTV a right and license to Distribute theprogram, file or video listed on the Deal Terms above (the “Program”) consisting of (check one) ¨ episodes (series) or x one-offs,for unlimited runs for the License Term through ConvergTV channels and/or other distribution outlets, in accordance with theLicense Rights. The terms “License Term”, “Licensed Rights”, and “Licensed Territory” shall have the meaning specified in the DealTerms above, which such Deal Terms are part of this Agreement and are hereby incorporated herein by reference. As used in thisAgreement and this license, the term “Distribute” includes, but is not limited to, any and all License Rights specified in the DealTerms, all rights of distribution, the right to copy and reproduce the Program, the right to create derivative works of the Program', 'Subject to the provisions of this Agreement, Bioeq hereby grants to Licensee an exclusive (even as to Bioeq), milestone- and royalty-bearing, non-transferable license (including the right to grant sublicenses only to the extent permitted by Section 2.1.2) under the Licensed Technology (including the Licensed Patents) to use, sell, have sold, import, have imported or otherwise Commercialize the Licensed Products in the Field in the Territory.', 'License. Subject to the terms and conditions of this Agreement, Cisco Systems, Inc. or its subsidiary licensing the Software instead of Cisco Systems, Inc. (""Cisco""), grants to Customer a nonexclusive and nontransferable license to use for Customer\'s internal business purposes the']",None,None required
"Contract must include a No-Compete, Exclusivity, or No-Solicit clause.",True,"['Section 6.1 Mandatory Participation and Exclusivity. During the Term, except as expressly provided in this Agreement, including Section 3.6 (Policy Trailer; Branded Slots); those provisions of Part A of Exhibit A that permit Network Affiliate to engage in certain Lobby Promotions; Section 3.11 (Grand Openings, Employee Uniforms), collectively, the “Exclusivity Exceptions”, Network Affiliate shall subscribe for and NCM shall be the exclusive provider to the theatres of the services specifically set forth in the definition of the “Service.” Except as permitted by the Exclusivity Exceptions, during the Term, Network Affiliate shall neither engage nor permit a third party (excluding third party designees of NCM as provided', 'Section 11.3 Non-Competition and Non-Solicitation. \n (a) During the Term, except as otherwise provided in this Agreement, Network Affiliate and its affiliates agree not to engage or participate in any business, hold equity interests, directly or indirectly, in another entity, whether currently existing or hereafter created, or participate in any other joint venture that competes or would compete with any business that NCM is authorized to conduct in the Territory pursuant to this Agreement, whether or not NCM is actually conducting such business in a particular portion of the Territory.']",,None required
Contract must define Assignment and Change-of-Control rules.,True,"['provided that such assignment or transfer is previously notified to the other Party. In such event, any reference in this Agreement to the assigning Party shall be deemed to constitute a reference to the assignee with respect to the part of this Agreement that is assigned; and,', '(ii) nothing in this Agreement shall in any way restrict any change in shareholding or control of the Parties or its Affiliates or the Repairer’s rights to delegate obligations of it hereunder to a Subcontractor. provided that, in such case, the Repairer will remain responsible for the provision of the Services in accordance with the terms of this Agreement. provided such assignment or transfer, change in shareholding or control has no material adverse effect on any of the Company’s rights and obligations under this Agreement.', '2.8 Change of Control. “Change of Control” means any contract or transaction or series of related contracts or transactions (regardless of form or structure) that would directly result in the Control of a Person or its business or assets changing from one Person to another Person (alone or in combination with any other third Person).', 'of the assigning Party’s business or assets relating to the subject matter of this Agreement, whether by Change of Control, merger, sale of assets or otherwise; provided, however, that, with respect to clause (b), (i) any assignment of this Agreement shall be void and have no effect unless and until the assignee assumes the', '14.6 Assignment. Vyera may not assign this Agreement, or any rights or obligations hereunder without the prior written consent of CytoDyn, not to be unreasonably withheld or delayed provided that Vyera may assign this Agreement without CytoDyn’s consent to an Affiliate or to a successor to substantially all of the business of Vyera to which this Agreement relates. A Change of Control shall be deemed an assignment for purposes of this Agreement. Any permitted successor or assignee of rights and/or obligations permitted hereunder shall, in writing to the other Party, expressly assume performance of such rights and/or obligations. Any permitted assignment shall be binding on the successors of the assigning Party. Any assignment or attempted assignment by Vyera in violation of the terms of this Section 14.6 shall be null, void and of no legal effect. For clarity, nothing in this Agreement', '15.1 Assignment. Neither party may assign this Agreement, in whole or in part, without the other party\'s written consent (which will not be unreasonably delayed or withheld), except that no such consent will be required in connection with an assignment or transfer of this Agreement to (a) a party\'s successor in connection with a Change in Control of such party, provided that such successor is not a competitor of the other party, or (b) to any entity that is controlled by, under common control with, or controls a party. For purposes hereof, the terms ""control"", ""controlled by"" or ""under common control with"" refer to the possession, directly or indirectly, of the power to direct or cause', 'As used above, ""Change of Control"" means any of the following:', 'Section 14.8 Assignment. Network Affiliate may not assign or transfer, by operation of law or otherwise, any of its rights under this Agreement or delegate any of its duties under this Agreement to any third party without NCM’s prior written consent, which consent shall not be unreasonably withheld, conditioned or delayed. For the purposes of this Agreement, any change of control, merger, consolidation, or acquisition of all or substantially all of the assets of Network Affiliate (collectively, a “Change of Control”) shall be deemed an assignment. This Agreement shall not be assignable by either party unless the assignee expressly assumes in writing the obligations of the assignor hereunder. Any attempted assignment in violation of this section shall be void.', 'Customer shall not assign this Agreement, in whole or in part, to any other person without the prior written consent of Supplier, not to be unreasonably withheld, conditioned or delayed.', '19.2 Change of Control During the Term, Supplier will promptly notify Customer in writing if at any time a Change of Control shall occur as to Supplier, such notification to be given no later than fifteen (15) days following such Change of Control.']",,None required
Contract must specify Indemnification responsibilities.,True,"[""and indemnify Licensee and Licensee's officers, directors, employees, stockholders, agents and representatives against, and agrees to hold them harmless from, any loss, liability, claim, damage or expense (including reasonable legal fees and expenses incurred therein or in enforcing the indemnity), as incurred, for or on account of or arising from or in connection with or otherwise with respect to any breach of any representation, warranty or covenant of Licensor contained in this Agreement or any document delivered in connection herewith."", 'Section 9.3    INDEMNIFICATION PROCEDURE.  Promptly after acquiring knowledge of any loss, action, suit, investigation, proceeding, demand, assessment, audit, judgment or claim against Licensor or Licensee, or as to which Licensor or Licensee may be liable, a party entitled hereunder to be indemnified shall give written notice thereof to the party obligated hereunder to provide', '10.2 Indemnification of Manufacturer. (a) Subject to the provisions of this Section 10 and, for clarity, without limiting anything in the Separation Agreement or any Ancillary Agreements, Customer shall indemnify, defend and hold harmless Manufacturer, its Affiliates and its and their respective directors, officers, managers, members, employees and agents, and each of the heirs, executors, successors and assigns of any of the foregoing (each, a “Manufacturer Indemnified Party ”) from and against any and all Losses of such Manufacturer Indemnified Parties to the extent relating to, arising out of or resulting from any Action of a Third Party arising out of or resulting from any of the following items (without duplication): (i) any breach by Customer or its Personnel of this Agreement or any Facility Addendum; (ii) the gross', '(c) Indemnification Procedures - With respect to third-party claims subject to the indemnities set forth in this Clause 28, the indemnitee shall notify the indemnitor promptly of any matters in respect of which the foregoing indemnity may apply and of which the indemnitee has knowledge and shall give the indemnitor full opportunity to control the response thereto and the defense thereof; including, without limitation, any agreement relating to the settlement thereof; provided that the indemnitee shall have the right to approve any settlement or any decision not to defend.', 'The Indemnifier’s obligation to indemnify the Indemnified Party shall apply only upon the following terms and conditions: a) the obligation shall only pertain to the Intellectual Property the Indemnifier, its Affiliates, officers, directors, agents, servants, employees or consultants elect to use in conducting the activities set out in this Agreement, and not to any Improvements or additions made by anyone other than the Indemnifier, whether with or without permission; and', ""compromise of any Claim without the indemnifying party's prior written consent, which shall not be unreasonably withheld. In addition, the indemnified party may, at its own expense, participate in its defense of any Claim. In the event that the indemnifying party assumes the defense of any such claim, the indemnifying party shall have no liability for legal fees and costs incurred by the indemnified party."", 'EXCEPT WITH RESPECT TO THE INDEMNITY OBLIGATIONS IN SECTION 14, THE CONFIDENTIALITY OBLIGATIONS UNDER SECTION 16, AND THE YEAR 2000 COMPLIANCE OBLIGATIONS UNDER SECTION 20, NOTWITHSTANDING ANYTHING TO THE CONTRARY CONTAINED IN THIS AGREEMENT, UNDER NO CIRCUMSTANCES SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY WITH RESPECT TO THE SUBJECT MATTER OF THIS AGREEMENT UNDER ANY CONTRACT, NEGLIGENCE,', 'Vendor’s duty to indemnify, hold harmless, and defend the AT&T Indemnified Parties against any Third Party Loss extends to any Third Party Loss that may be caused or alleged to be caused in part by the negligence of any of the AT&T Indemnified Parties to the fullest extent that such indemnification is permitted by applicable Law.', '(b) AT&T shall promptly notify Vendor in writing of any claim, demand, suit, cause of action or legal proceeding that may give rise to a claim against Vendor for defense and indemnification under this Section 3.15. If AT&T fails to give notice, Vendor is still obligated to indemnify, hold harmless and', '8.6 Each Party shall maintain (a) comprehensive general liability insurance (including without limitation, coverage for bodily injury, personal injury, property damage, casualty loss and contractual and trademark liability); and (b) product liability insurance, providing full indemnification and defense against claims, liabilities, damages, demands and causes of action, alleged or actual, arising out of any defects in or use of the Product under this Agreement (including manufacturing, design, warning, or instruction claims), in such amounts as it customarily maintains for similar products and activities, but in no event less than $5,000,000 per individual claim and']",,None required
